"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog"
"57";"6:2 diPAP";"2020071207-cal41";977729;6,23;0,518;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;117258112,714223;0,000655552644800569;NA;NA;NA;NA;NA;NA;NA
"58";"6:2 diPAP";"2020071207-cal42";1016586;6,23;0,518;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;121918195,912877;0,000655552644800569;NA;NA;NA;NA;NA;NA;NA
"59";"6:2 diPAP";"2020071208-cal51";1488440;6,24;1,801;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;178507199,119958;0,00227924770904599;NA;NA;NA;NA;NA;NA;NA
"60";"6:2 diPAP";"2020071208-cal52";1691480;6,23;1,801;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;202857593,96914;0,00227924770904599;NA;NA;NA;NA;NA;NA;NA
"61";"6:2 diPAP";"2020071209-cal61";5974404;6,23;6,458;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;716504611,842651;0,00817289378401945;NA;NA;NA;NA;NA;NA;NA
"62";"6:2 diPAP";"2020071209-cal62";6351152;6,23;6,458;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;761687642,568811;0,00817289378401945;NA;NA;NA;NA;NA;NA;NA
"63";"6:2 diPAP";"2020071210-cal71";10052392;6,23;22,325;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1205573849,38316;0,0282533065543875;NA;NA;NA;NA;NA;NA;NA
"64";"6:2 diPAP";"2020071210-cal72";18953293;6,24;22,325;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;2273050474,00628;0,0282533065543875;NA;NA;NA;NA;NA;NA;NA
"65";"6:2 diPAP";"2020071211-cal81";42433321;6,23;77,154;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;5088987988,14068;0,0976419087971874;NA;NA;NA;NA;NA;NA;NA
"66";"6:2 diPAP";"2020071211-cal82";55406094;6,23;77,154;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;6644800364,21833;0,0976419087971874;NA;NA;NA;NA;NA;NA;NA
