,11Cl-PF3OUdS,4_2 FTS,6_2 diPAP,6_2 mono PAP,6_2_8_2 diPAP,8_2 diPAP,8_2 FTS,9Cl-PF3ONS,d3- MeFOSA,d3-MeFOSAA,d5-EtFOSA,D5-EtFOSAA,EtFOSA,EtFOSAA,EtFOSE,FOSA,FOSAA,FPePA,FPrPA,M 6_2 monoPAP,M2 6_2 FTS,M2PFDA,M2PFDoDA,M2PFHxA,M2PFUnDA,M3HFPO-DA,M4 6_2_6_2 diPAP,M4 8_2_8_2 diPAP,M4PFHpA,M4PFOS,M5PFNA,M5PFPeA,M8FOSA,M8PFOA,M8PFOS,MeFOSA,MeFOSAA,MeFOSE,MPFHxA,MPFHxS,MPFOA,NaDONA,PFBS,PFDA,PFDoDA,PFDS,PFHpA,PFHpS,PFHpS-br,PFHxA,PFHxDA,PFHxS,PFHxS-br,PFNA,PFNS,PFNS-br,PFOA,PFOcDA,PFOS,PFOS-br,PFPeA,PFPeDA,PFPeS,PFTeDA,PFTriDA,PFUnDA,PFUnDS
cal7_201208162928,4.509,5.214,4.583,4.076,4.817,4.400,5.602,4.383,1.000,1.000,1.000,1.000,4.425,4.359,4.613,4.455,5.379,3.925,4.083,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,4.351,4.606,4.479,0,1.000,1.000,4.058,3.445,4.556,4.614,4.188,4.095,-0.020,0,4.123,5.073,3.765,0,4.425,0,0,4.325,6.137,4.146,-0.024,4.189,-0.008,-0.020,4.460,4.682,4.655,0
DB-1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.322,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.002,0.001,0,0,0,0,0,0,-0.013,0,0.004,0,0,-0.011,0,0.099,-0.016,0,0,0,-0.006,0.048,0.055,0
DB-2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.245,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.001,0.002,-0.012,0,0,0,0,0,-0.012,0,0.009,0,0,0,0,0.139,-0.015,0,-0.002,0,0.000,0.097,0.052,0
DB-3A,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.117,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.014,0.014,-0.012,0,-0.019,0,0,0,-0.008,0,0.019,0,0,-0.011,0,0.242,-0.009,0,0,0,0.018,0.165,0.103,0
DB-3B,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.127,0,0,0,0,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.013,0.000,0,0,0,0,0,0,-0.008,0,0.017,0,0,0,0,0.209,-0.010,0,0,0,0.002,0.141,0.079,0
DB-3C,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.163,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.018,0.013,0,0,-0.018,0,0,0,-0.005,0,0.029,0,0,-0.006,0,0.234,-0.007,0,0,0,0.019,0.153,0.100,0
DB-4,0,0,-0.006,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.196,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,-0.013,0.034,0.024,0,0,-0.017,0,0,0,-0.003,0,0.054,0,0,0,0,0.338,-0.001,0,0,0,0.019,0.187,0.149,0
DB-5,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.202,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.028,0.018,-0.012,0,-0.018,0,0,0,-0.005,0,0.043,0,0,-0.008,0,0.313,0.000,0,0,0,0.011,0.168,0.109,0
DL-1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.600,-0.011,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,-0.012,0.549,0.297,0.009,0,-0.012,0,0,0,0.004,0,0.467,0,0,0.023,0,2.833,0.129,0,0.114,0,0.170,1.095,1.869,0
DL-2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.910,0,0,0,1.000,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.753,0.350,0.006,0,-0.012,0,0,0,0.005,0,0.692,0,0,0.042,0,3.085,0.120,0,0.189,0,0.230,1.369,2.335,0
