"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog";"intercept_homolog";"conc_homolog_withIntercept"
"25";"PFDA";"2020071210-cal71";19255282;4,98;21,392;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;2151838165,83502;0,0416119576021771;107195805617,959;0,0200739026441396;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0326431503953594;-94316991,5168419;0,034073928874803
"26";"PFDA";"2020071210-cal71";19255282;4,98;21,392;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;2151838165,83502;0,0416119576021771;107195805617,959;0,0200739026441396;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0231725707734522;78567567,5810738;0,0223264976118286
"27";"PFDA";"2020071210-cal72";39646442;4,98;21,392;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;4430614261,33176;0,0416119576021771;107195805617,959;0,0413319740990825;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,067211935345683;-94316991,5168419;0,0686427138251265
"28";"PFDA";"2020071210-cal72";39646442;4,98;21,392;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;4430614261,33176;0,0416119576021771;107195805617,959;0,0413319740990825;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0477121022252787;78567567,5810738;0,046866029063655
"29";"PFDA";"2020071211-cal81";89946340;4,97;73,577;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;10051785649,7336;0,143122803127122;107195805617,959;0,093770326103595;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,152484492521695;-94316991,5168419;0,153915271001139
"30";"PFDA";"2020071211-cal81";89946340;4,97;73,577;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;10051785649,7336;0,143122803127122;107195805617,959;0,093770326103595;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,108244996332071;78567567,5810738;0,107398923170447
"31";"PFDA";"2020071211-cal82";119755122;4,98;73,577;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;13383010546,0844;0,143122803127122;107195805617,959;0,124846401115552;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,203018811049384;-94316991,5168419;0,204449589528828
"32";"PFDA";"2020071211-cal82";119755122;4,98;73,577;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;13383010546,0844;0,143122803127122;107195805617,959;0,124846401115552;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,144118067968488;78567567,5810738;0,143271994806864
"33";"PFDA";"2020071212-solvent_201208185514";4371;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;488472,96148999;NA;107195805617,959;4,5568290538427e-06;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";7,41008157544075e-06;-94316991,5168419;0,00143818856101902
"34";"PFDA";"2020071212-solvent_201208185514";4371;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;488472,96148999;NA;107195805617,959;4,5568290538427e-06;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";5,26023492415014e-06;78567567,5810738;-0,000840812926699475
