name;SMILES;logIE;pH.aq.;polarity_index;viscosity;surface_tension;NH4;data_type
3-nitrobenzenesulphonamide;N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O;1.17;10.5;9.32;0.93;42.11062016;1;non-PFAS
perfluorooctanesulfonic acid;O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O;2.56;10.5;9.32;0.93;42.11062016;1;non-PFAS
perfluoro-tert-butanol;OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F;1.48;10.5;9.32;0.93;42.11062016;1;non-PFAS
myristic acid;CCCCCCCCCCCCCC(O)=O;1.83;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,3,4,5,6-pentafluoro-N-[(2,3,4,5,6-pentafluorophenyl)sulfonyl]-benzenesulfonamide;FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F;1.96;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-methyl-N-[(4-nitrophenyl)sulfonyl]-benzenesulfonamide;O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O;2.31;10.5;9.32;0.93;42.11062016;1;non-PFAS
sorbic acid;C/C=C/C=C/C(O)=O;-0.55;10.5;9.32;0.93;42.11062016;1;non-PFAS
N-hydroxy-phthalimide;ON1C(=O)c2ccccc2C1=O;-0.67;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-aminobutanoic acid;NCCCC(O)=O;-1.57;10.5;9.32;0.93;42.11062016;1;non-PFAS
beta-alanine;NCCC(O)=O;-2.32;10.5;9.32;0.93;42.11062016;1;non-PFAS
benzoic acid;OC(=O)c1ccccc1;0.07;10.5;8;0.84;30.026945;1;non-PFAS
3,5-dinitrobenzoic acid;OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;0.62;10.5;8;0.84;30.026945;1;non-PFAS
3-trifluoromethylbenzoic acid;OC(=O)c1cccc(c1)C(F)(F)F;1.37;10.5;8;0.84;30.026945;1;non-PFAS
pentafluorophenol;Oc1c(F)c(F)c(F)c(F)c1F;1.41;10.5;8;0.84;30.026945;1;non-PFAS
4-tert-butylbenzoic acid;CC(C)(C)c1ccc(cc1)C(O)=O;1.46;10.5;8;0.84;30.026945;1;non-PFAS
4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;2.66;10.5;8;0.84;30.026945;1;non-PFAS
pentakis(trifluoromethyl)phenol;Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;3.06;10.5;8;0.84;30.026945;1;non-PFAS
4-phenylphenol;Oc1ccc(cc1)c2ccccc2;0.95;10.5;8;0.84;30.026945;1;non-PFAS
2-phenylphenol;Oc1ccccc1c2ccccc2;0.63;10.5;8;0.84;30.026945;1;non-PFAS
3-chlorobenzoic acid;OC(=O)c1cccc(Cl)c1;0.85;10.5;8;0.84;30.026945;1;non-PFAS
4-aminobenzoic acid;Nc1ccc(cc1)C(O)=O;0.04;10.5;8;0.84;30.026945;1;non-PFAS
4-hydroxybenzoic acid;OC(=O)c1ccc(O)cc1;0.23;10.5;8;0.84;30.026945;1;non-PFAS
3-aminobenzoic acid;Nc1cccc(c1)C(O)=O;0.17;10.5;8;0.84;30.026945;1;non-PFAS
pentafluorobenzoic acid;OC(=O)c1c(F)c(F)c(F)c(F)c1F;1.28;10.5;8;0.84;30.026945;1;non-PFAS
2,4-dinitrophenol;Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;1.47;10.5;8;0.84;30.026945;1;non-PFAS
3-dimethylaminobenzoic acid;CN(C)c1cccc(c1)C(O)=O;1.13;10.5;8;0.84;30.026945;1;non-PFAS
4-isopropylbenzoic acid;CC(C)c1ccc(cc1)C(O)=O;0.62;10.5;8;0.84;30.026945;1;non-PFAS
2-tert-butylphenol;CC(C)(C)c1ccccc1O;0.03;10.5;8;0.84;30.026945;1;non-PFAS
2,4,6-tri-tert-butylphenol;CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C;0.73;10.5;8;0.84;30.026945;1;non-PFAS
2,5-dinitrophenol;Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O;1.37;10.5;8;0.84;30.026945;1;non-PFAS
3-chlorophenol;Oc1cccc(Cl)c1;0.27;10.5;8;0.84;30.026945;1;non-PFAS
2-isopropylphenol;CC(C)c1ccccc1O;-0.08;10.5;8;0.84;30.026945;1;non-PFAS
3-bromophenol;Oc1cccc(Br)c1;0.72;10.5;8;0.84;30.026945;1;non-PFAS
2-bromophenol;Oc1ccccc1Br;-0.98;10.5;8;0.84;30.026945;1;non-PFAS
2,6-dinitrophenol;Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O;1.38;10.5;8;0.84;30.026945;1;non-PFAS
2-nitrophenol;Oc1ccccc1[N+]([O-])=O;-0.71;10.5;8;0.84;30.026945;1;non-PFAS
3-nitrophenol;Oc1cccc(c1)[N+]([O-])=O;1.07;10.5;8;0.84;30.026945;1;non-PFAS
4-nitrophenol;Oc1ccc(cc1)[N+]([O-])=O;1.1;10.5;8;0.84;30.026945;1;non-PFAS
2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)cc(F)c1F;1.48;10.5;8;0.84;30.026945;1;non-PFAS
3-[(heptafluoropropyl)sulphonyl]benzoic acid;OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O;2.4;10.5;8;0.84;30.026945;1;non-PFAS
3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid;OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O;2.38;10.5;8;0.84;30.026945;1;non-PFAS
3-[(heptafluoropropyl)sulphanyl]benzoic acid;OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O;2.03;10.5;8;0.84;30.026945;1;non-PFAS
3-trifluoromethylsulfonylbenzoic acid;OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F;1.81;10.5;8;0.84;30.026945;1;non-PFAS
3-[tris(trifluoromethyl)methyl]benzoic acid;FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F;2.45;10.5;8;0.84;30.026945;1;non-PFAS
3-[(trifluoromethyl)sulphanyl]benzoic acid;OC(C1=CC=CC(SC(F)(F)F)=C1)=O;1.12;10.5;8;0.84;30.026945;1;non-PFAS
