Compound Filename Area RT Theoretical_amt SMILES IC Molecular_weight area_IC Theoretical_conc_uM logIE_predicted_LOO logIE_predicted logIE model_nr slope name slope_pred conc_pred_uM conc_pred_pg_uL Compound_homolog SMILES_homolog slope_homolog pattern conc_homolog_uM intercept_homolog conc_homolog_withIntercept_uM
11Cl-PF3OUdS cal7_201208162928 105574658 6.22 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 16447572374.323696 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.052552104208516956 33.24440857020362 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.042042181657099637 80353402.74659069 0.04183678767687237
"4:2 FTS" 2020071204-cal11 42808 2.47 0.012 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 4835152.5631753225 3.6568308075806103e-5 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 9.074388103683791e-5 0.029777876793881473 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 1.1139424891216708e-4 12380055.312699193 -1.7382259689167141e-4
"4:2 FTS" 2020071204-cal12 50501 2.46 0.012 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 5704074.929754181 3.6568308075806103e-5 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 1.0705140946181442e-4 0.03512924116912279 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 1.3141284256011377e-4 12380055.312699193 -1.538040032437247e-4
"4:2 FTS" 2020071205-cal21 107751 2.49 0.041 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 12170447.669470757 1.2494171925900418e-4 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 2.284092675574734e-4 0.07495318637678758 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 2.80387818037164e-4 12380055.312699193 -4.8290277666745186e-6
"4:2 FTS" 2020071205-cal22 168543 2.46 0.041 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 19036888.395983424 1.2494171925900418e-4 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 3.572754144457058e-4 0.1172409990766017 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 4.385797256214581e-4 12380055.312699193 1.533628798176196e-4
"4:2 FTS" 2020071206-cal31 239032 2.47 0.144 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 26998602.772400573 4.3881969690967316e-4 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 5.066971447392413e-4 0.16627418813761624 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 6.220050015411401e-4 12380055.312699193 3.3678815573730156e-4
"4:2 FTS" 2020071206-cal32 298789 2.48 0.144 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 33748140.51575854 4.3881969690967316e-4 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 6.333693111361373e-4 0.20784203955725689 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 7.775036497434472e-4 12380055.312699193 4.922868039396088e-4
"4:2 FTS" 2020071207-cal41 1060952 2.46 0.505 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 119834254.8637167 0.0015389162981901735 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 0.002248993227289181 0.7380138745146266 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 0.0027607912346258056 12380055.312699193 0.002475574388821967
"4:2 FTS" 2020071207-cal42 1193398 2.47 0.505 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 134793996.41628444 0.0015389162981901735 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 0.002529750657391149 0.8301452674748778 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 0.0031054399612988784 12380055.312699193 0.00282022311549504
"4:2 FTS" 2020071208-cal51 1640499 2.47 1.755 O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F 112.9497421784555 328.153 185293939.09401405 0.005348115056086642 1.7706854343414307 1.7706854343414309 1.6449769933382423 model_2 40875746693.093475 "4:2 FTS" 53283510777.02384 0.003477509953678087 1.1411553238293255 "6:2 FTS" O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 43405764753.50875 bigger 0.004268878572840618 12380055.312699193 0.00398366172703678
