ID;Neutral formula;MW;m/z;Possible structure number;SMILES
FHpSA;C7H2F15NO2S;448.9572;447.9494;;FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FOSA;C8H2F17NO2S;498.954;497.9462;;FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MeFOSA;C9F17SO2NH4;512.9691283;511.96185;;FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O
EtFOSA;C10F17SO2NH6;526.9847784;525.9775;;CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FNSA;C9H2F19NO2S;548.95081;547.94301;;FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FOSAA;C10H4F17NO4S;556.9595;555.9517;;OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MeFOSAA;C11F17SO4NH6;570.9746076;569.96733;;CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
EtFOSAA;C12F17SO4NH8;584.9902577;583.98298;;CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NMe-FBSAA;C7H6F9NO4S;370.9873;369.9795;;FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC(=O)O
ClOPFLSA n=7;C9HF18O4SCl;581.90019;580.89239;;S(=O)(O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
ClPFLSA_i n=7;C8HF16O3SCl;515.90847;514.90067;;S(=O)(O)(=O)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
d-diO-/C-diO-/K-O-PFLSA n=9;C9HF17O5S;543.92785;542.92005;d-diO-PFLSA_1;FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)OC(/F)=C(\F)C(F)(F)F
d-diO-/C-diO-/K-O-PFLSA n=9;C9HF17O5S;543.92785;542.92005;C-diO-PFLSA_1;FC1(OC(F)(OC1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O)C(F)(F)F
d-diO-/C-diO-/K-O-PFLSA n=9;C9HF17O5S;543.92785;542.92005;K-O-PFLSA_1;FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(=O)C(F)(F)F
d/C PFSA n=8;C8F15SO3H;461.94121;460.93341;PFECHS;C1(C(C(C(C(C1(F)F)(F)F)(F)S(=O)(=O)[O-])(F)F)(F)F)(C(C(F)(F)F)(F)F)F
6:2 mono PAP;C8F13H6O4P;443.979614;442.97234;;O[P](O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:2/8:2 diPAP;C18H9F30O4P;889.975952;888.96866;;O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8:2 diPAP;C20H9F34O4P;;988.96228;;O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
9Cl-PF3ONS;ClC8F16O4SH;;530.89558;;O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
11Cl-PF3OUdS;C10F20O4SClH;;630.88919;;O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
NaDONA;C7F12O4H2;377.9761465;376.96887;;OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
