Compound,Filename,conc_pg_uL,quant_type,,,,,,
PFNA,QCN-CL,4.208071259,model,,,,,,
PFNA,QCN-AL,8.99676,target,,,,,,
PFNA,QCN-BL,10.29924,target,,,,,,
PFNA,QCN-CL,9.04902,target,,,,,,
PFOA,QCN-AL,1.923949689,model,,,,,,
PFOA,QCN-BL,2.588431912,model,,,,,,
PFOA,QCN-CL,2.14776003,model,,,,,,
PFOA,QCN-AL,4.75566,target,,,,,,
PFOA,QCN-BL,5.64006,target,,,,,,
PFOA,QCN-CL,5.74056,target,,,,,,
PFOS,QCN-AL,7.206334374,model,,,,,,
PFOS,QCN-BL,9.918014061,model,,,,,,
PFOS,QCN-CL,6.892294954,model,,,,,,
PFOS,QCN-AL,12.76752,target,,,,,,
PFOS,QCN-BL,14.13432,target,,,,,,
PFOS,QCN-CL,12.0198,target,,,,,,
PFPeA,QCN-AL,7.438587483,model,,,,,,
PFPeA,QCN-BL,10.11913725,model,,,,,,
PFPeA,QCN-CL,8.53614157,model,,,,,,
PFPeA,QCN-AL,5.38158,target,,,,,,
PFPeA,QCN-BL,6.043284,target,,,,,,
PFPeA,QCN-CL,6.252684,target,,,,,,
PFTeDA,QCN-AL,4.963002076,model,,,,,,
PFTeDA,QCN-BL,6.640352565,model,,,,,,
PFTeDA,QCN-CL,4.865595831,model,,,,,,
PFTeDA,QCN-AL,10.8741,target,,,,,,
PFTeDA,QCN-BL,12.79164,target,,,,,,
PFTeDA,QCN-CL,11.20374,target,,,,,,
PFTriDA,QCN-AL,26.5971369,model,,,,,,
PFTriDA,QCN-BL,34.9501375,model,,,,,,
PFTriDA,QCN-CL,23.59766072,model,,,,,,
PFTriDA,QCN-AL,28.52994,target,,,,,,
PFTriDA,QCN-BL,32.9439,target,,,,,,
PFTriDA,QCN-CL,26.59632,target,,,,,,
PFUnDA,QCN-AL,14.22443809,model,,,,,,
PFUnDA,QCN-BL,18.98987922,model,,,,,,
PFUnDA,QCN-CL,12.17078948,model,,,,,,
PFUnDA,QCN-AL,28.30884,target,,,,,,
PFUnDA,QCN-BL,31.66152,target,,,,,,
PFUnDA,QCN-CL,26.02548,target,,,,,,
