Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
7:3 FTCA,QCN-CL,2552379,5.055,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.7531369,442.122,285236359.9,NA,1.890619993,1.890619993,1.742715749,model_11,51302009559,7:3 FTA,70968358181,0.004019205,1.776978827
FOSA,QCN-AL,22455004,6.66,NA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.407297,499.145,2591471317,NA,2.701831818,2.701831818,2.386581486,model_12,2.25642E+11,FOSA,4.8468E+11,0.005346768,2.668812426
FOSA,QCN-BL,30667860,6.65,NA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.407297,499.145,3539294829,NA,2.701831818,2.701831818,2.386581486,model_12,2.25642E+11,FOSA,4.8468E+11,0.007302333,3.644923237
FOSA,QCN-CL,21443138,6.65,NA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.407297,499.145,2474694597,NA,2.701831818,2.701831818,2.386581486,model_12,2.25642E+11,FOSA,4.8468E+11,0.005105832,2.548550566
FOSAA,QCN-AL,9025950,4.88,NA,OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,118.4294601,557.181,1068938386,NA,1.884355187,1.884355187,2.202236082,model_13,1.47228E+11,FOSAA,69973379011,0.015276358,8.511696407
FOSAA,QCN-BL,11909471,4.87,NA,OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,118.4294601,557.181,1410432221,NA,1.884355187,1.884355187,2.202236082,model_13,1.47228E+11,FOSAA,69973379011,0.020156697,11.23092877
FOSAA,QCN-CL,10111822,4.87,NA,OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,118.4294601,557.181,1197537621,NA,1.884355187,1.884355187,2.202236082,model_13,1.47228E+11,FOSAA,69973379011,0.017114189,9.535700839
5:3 FTCA,QCN-AL,1416473,3.63,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,109.3911253,342.107,154949575.4,NA,1.051576138,1.051576138,1.471921079,model_14,27463253770,5:3 FTA,10278469012,0.015075161,5.157318112
5:3 FTCA,QCN-BL,1982356,3.63,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,109.3911253,342.107,216852153.6,NA,1.051576138,1.051576138,1.471921079,model_14,27463253770,5:3 FTA,10278469012,0.02109771,7.217674113
5:3 FTCA,QCN-CL,1726650,3.625,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,109.3911253,342.107,188880186.5,NA,1.051576138,1.051576138,1.471921079,model_14,27463253770,5:3 FTA,10278469012,0.018376296,6.286659413
