Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
EtFOSA,QCN-AL,10784824,7.86,NA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.86609116009312,527.198,1271165048.7295601,NA,2.13450026512146,2.13450026512146,2.4764001758352423,model_9,277601060991.12506,EtFOSA,123118500070.277,0.010324728192789625,5.443176053782304
EtFOSA,QCN-BL,12235001,7.85,NA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.86609116009312,527.198,1442091743.2098305,NA,2.13450026512146,2.13450026512146,2.4764001758352423,model_9,277601060991.12506,EtFOSA,123118500070.277,0.011713038596040996,6.175090521755621
EtFOSA,QCN-CL,11914948,7.85,NA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.86609116009312,527.198,1404368347.1357691,NA,2.13450026512146,2.13450026512146,2.4764001758352423,model_9,277601060991.12506,EtFOSA,123118500070.277,0.011406639508555942,6.0135575356316755
EtFOSAA,QCN-AL,2861885,5.34,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.14420784820827,585.234,346700791.2776695,NA,2.245304822921753,2.245304822921753,1.8559871497252471,model_10,66382438705.39989,EtFOSAA,157954031088.18265,0.0021949474089971986,1.2845578519570666
EtFOSAA,QCN-BL,3859296,5.33,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.14420784820827,585.234,467531356.7717588,NA,2.245304822921753,2.245304822921753,1.8559871497252471,model_10,66382438705.39989,EtFOSAA,157954031088.18265,0.0029599203866518937,1.7322460475618344
EtFOSAA,QCN-CL,3347118,5.34,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.14420784820827,585.234,405483958.6844792,NA,2.245304822921753,2.245304822921753,1.8559871497252471,model_10,66382438705.39989,EtFOSAA,157954031088.18265,0.0025671010476339498,1.502354814511007
7:3 FTA,QCN-AL,2282699,5.055,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.75313692289856,442.122,255098773.90076363,NA,1.8906199932098389,1.8906199932098389,1.7427157494428465,model_11,51302009558.56057,7:3 FTA,70968358180.57016,0.003594542419196123,1.5892262834598285
7:3 FTA,QCN-BL,3177687,5.055,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.75313692289856,442.122,355116490.4091148,NA,1.8906199932098389,1.8906199932098389,1.7427157494428465,model_11,51302009558.56057,7:3 FTA,70968358180.57016,0.00500387073215876,2.2123213358434954
7:3 FTA,QCN-CL,2552379,5.055,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.75313692289856,442.122,285236359.8661309,NA,1.8906199932098389,1.8906199932098389,1.7427157494428465,model_11,51302009558.56057,7:3 FTA,70968358180.57016,0.00401920471571827,1.776978827322793
FOSA,QCN-AL,22455004,6.66,NA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.40729704468495,499.145,2591471316.7675886,NA,2.701831817626953,2.701831817626953,2.38658148648416,model_12,225642197727.25897,FOSA,484679978854.94574,0.0053467678258341264,2.668812426425975
FOSA,QCN-BL,30667860,6.65,NA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.40729704468495,499.145,3539294828.744812,NA,2.701831817626953,2.701831817626953,2.38658148648416,model_12,225642197727.25897,FOSA,484679978854.94574,0.0073023334636317765,3.644923236704483
FOSA,QCN-CL,21443138,6.65,NA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.40729704468495,499.145,2474694596.7361717,NA,2.701831817626953,2.701831817626953,2.38658148648416,model_12,225642197727.25897,FOSA,484679978854.94574,0.005105832105098763,2.548550566099522
FOSAA,QCN-AL,9025950,4.88,NA,OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,118.42946014673065,557.181,1068938385.8113835,NA,1.8843551874160767,1.8843551874160769,2.2022360822795335,model_13,147228205175.16794,FOSAA,69973379011.11005,0.015276357965243646,8.51169640743242
FOSAA,QCN-BL,11909471,4.87,NA,OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,118.42946014673065,557.181,1410432221.1631444,NA,1.8843551874160767,1.8843551874160769,2.2022360822795335,model_13,147228205175.16794,FOSAA,69973379011.11005,0.02015669731969357,11.230928769284185
FOSAA,QCN-CL,10111822,4.87,NA,OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,118.42946014673065,557.181,1197537620.5598342,NA,1.8843551874160767,1.8843551874160769,2.2022360822795335,model_13,147228205175.16794,FOSAA,69973379011.11005,0.017114188817002746,9.535700839246408
5:3 FTA,QCN-AL,1416473,3.63,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,109.39112530089835,342.107,154949575.4283394,NA,1.0515761375427246,1.0515761375427246,1.4719210791894042,model_14,27463253770.22691,5:3 FTA,10278469012.01544,0.015075161023222884,5.157318112171711
